Stop_Name,Stop_ID,latitude,longitude
19 MAYIS CD-3,10140,36.8789552,30.7119418
ARIK CD-1,10142,36.8812877,30.7104041
ARIK CD-2,10144,36.8841886,30.7111585
HUSNU KARAKAS CD,10146,36.8867891,30.7104045
1264.SK,10147,36.887831,30.709893
FAHRETTIN ALTAY CD-1,10148,36.8922047,30.7086505
ANDIZLI MEZARLIGI,10149,36.8931172,30.7059467
YENER ULUSOY BLV,10151,36.8921861,30.6987814
100.YIL BLV-1,10153,36.8904849,30.6911673
100.YIL BLV-2,10154,36.8898121,30.6876101
GAZI LISESI ,10155,36.8893877,30.6852485
100.YIL BLV-3,10156,36.8886831,30.6813288
ATATURK KULTUR MERKEZI,10158,36.8863912,30.6690507
LUNAPARK ,10160,36.8837094,30.6579385
ATATURK BLV-19,10161,36.8821631,30.6556175
ATATURK BLV-20,10162,36.8804446,30.6520219
IL SAGLIK MUDURLUGU,10163,36.878764,30.648139
ATATURK BLV-22,10164,36.8774958,30.6461
ATATURK BLV-23,10165,36.87546,30.643262
ATATURK BLV-24,10166,36.872523,30.641539
KONYAALTI BELEDIYESI,10168,36.8679199,30.6377522
ATATURK BLV-26,10169,36.8664016,30.635304
ATATURK BLV-27,10171,36.8636977,30.6312522
ATATURK BLV-28,10172,36.8620594,30.6288069
ATATURK BLV-29,10173,36.8600413,30.6257663
ATATURK BLV-30,10174,36.8582078,30.6232541
ATATURK BLV-31,10175,36.8532665,30.6178762
ATATURK BLV-32,10176,36.850912,30.6153933
ATATURK BLV-33,10177,36.8488553,30.6131623
AKDENIZ BLV-8,10180,36.8437859,30.5985951
AKDENIZ BLV-9,10181,36.840595,30.596733
AKDENIZ BLV-10,10182,36.8384306,30.5956827
DUMLUPINAR BLV-2,10185,36.8905786,30.6645883
SANAYI KARAKOLU,10192,36.9109755,30.6993272
GAZI BLV-3,10193,36.9121791,30.7052015
GAZI BLV-5,10196,36.9131091,30.7239313
GAZI BLV-6,10197,36.9126028,30.727505
GAZI BLV-7,10199,36.9120228,30.7312612
GAZI BLV-9,10202,36.9053851,30.7519042
GAZI BLV,10204,36.902914,30.756629
SERIK CD-3,10209,36.9116771,30.7737335
SERIK CD-4,10210,36.9167499,30.7824101
HAVAALANI LOJMANLARI,10211,36.9200846,30.7882446
SERIK CD-7,10214,36.9379474,30.8192603
MERSIN YOLU-8,10215,36.94713,30.838763
MEVLANA CD-1,10217,36.9440988,30.8531756
MEVLANA CD-2,10218,36.9462638,30.8505162
VEYSELLER CD-1,10219,36.9532897,30.8458438
VEYSELLER CD-2,10220,36.9485585,30.8455318
MERSIN YOLU-4,10223,36.9458919,30.8319212
MERSIN YOLU-5,10224,36.9419647,30.8246996
MERSIN YOLU-6,10225,36.9400243,30.8212164
MERSIN YOLU-7,10226,36.9387436,30.8189862
PINARLI ,10227,36.9361376,30.8143664
SERIK CD-9,10230,36.927273,30.798934
SERIK CD-10,10231,36.925731,30.796275
SERIK CD-11,10232,36.923144,30.791796
SERIK CD-12,10233,36.9195407,30.7854529
SERIK CD-13,10235,36.9164886,30.7802934
HAVAALANI CD,10236,36.8687522,30.7840149
SERIK CD-14,10237,36.9129843,30.7740992
HAVAALANI CD,10238,36.8718492,30.7853811
GAZI BLV-11,10240,36.90179,30.759565
ASMALI SK,10241,36.8675079,30.8064333
GAZI BLV-11,10242,36.9057271,30.7521953
ASMALI SK,10243,36.8702399,30.8089107
TOPTANCI HAL KAVSAGI ,10244,36.9102013,30.740925
GAZI BLV-13,10245,36.911603,30.7365758
GAZI BLV-14,10246,36.9125165,30.7310074
GAZI BLV-15,10247,36.9130372,30.7273206
GAZI BLV-16,10248,36.9135593,30.7238634
SEMA YAZAR SEMT POLIKLINIGI,10249,36.9136408,30.7187399
GAZI BLV-18,10250,36.9132293,30.7129712
GAZI BLV-19,10251,36.9130106,30.7103173
1878 SK,10252,36.8771395,30.762759
GAZI BLV-20,10253,36.9106819,30.6964066
1878 SK,10254,36.8775677,30.7659699
GAZI BLV-21,10255,36.9080597,30.6877091
3806 SK,10257,36.9032154,30.6622491
112 ACIL,10258,36.9045695,30.6631794
TIP FAKULTESI,10259,36.8977874,30.6650277
DUMLUPINAR BLV-5,10260,36.8914123,30.6638234
GAZI MUSTAFA KEMAL BLV-1,10261,36.8661233,30.6328891
GAZI MUSTAFA KEMAL BLV-2,10262,36.8685225,30.6305939
1879 SK,10263,36.8855762,30.7741708
GAZI MUSTAFA KEMAL BLV-3,10264,36.8718593,30.6274496
SEHITLER CD-1,10265,36.8795171,30.7533323
1150 SK,10266,36.8748151,30.6280051
CAMLIK CD-11,10267,36.8734119,30.6311935
19.CD-1,10268,36.8722102,30.6330863
NASHIRA PARK,10269,36.8738287,30.6349296
YALI CD-19,10270,36.8629722,30.76292
YALI CD-7,10272,36.8627439,30.7631344
BES YILDIZ SITESI,10273,36.8803688,30.6458857
15.CD,10274,36.8840251,30.6453701
MEVLANA PARKI,10275,36.8822261,30.648741
MELTEM BLV-1,10276,36.8924485,30.6664
MELTEM BLV-2,10277,36.892455,30.6689406
MELTEM BLV-3,10278,36.892375,30.6735298
EGITIM ARASTIRMA HASTANESI,10280,36.8913051,30.6758009
AHATLI ILKOKULU,10281,36.9104848,30.6481096
DEMIRCILER ICI,10282,36.8884638,30.7082784
CEBESOY CD-1,10284,36.8869695,30.7126434
GIYASEDDIN KEYHUSREV ANADOLU IMAM HATIP LISESI,10285,36.9107884,30.6504242
CEBESOY CD-2,10286,36.8842492,30.713514
GIYASEDDIN KEYHUSREV ANADOLU IMAM HATIP LISESI,10287,36.9110799,30.6503318
BURHANETTIN ONAT CD-3,10288,36.880273,30.7175537
BURHANETTIN ONAT CD-4,10290,36.8763377,30.7174487
BULENT ECEVIT BLV-1,10291,36.8581359,30.748263
BULENT ECEVIT BLV-2,10292,36.8580322,30.7508766
BULENT ECEVIT BLV-3,10293,36.8578727,30.7538202
BULENT ECEVIT BLV-5,10294,36.8575971,30.7610641
BULENT ECEVIT BLV-6,10295,36.8575485,30.7650074
BULENT ECEVIT BLV-7,10296,36.8574249,30.7695809
BULENT ECEVIT BLV-8,10297,36.857537,30.7718567
BULENT ECEVIT BLV-9,10298,36.8586804,30.77649
BULENT ECEVIT BLV-10,10299,36.8600824,30.7798877
BULENT ECEVIT BLV-11,10300,36.8611268,30.7837201
BULENT ECEVIT BLV-12,10301,36.8616399,30.7874951
MEHMET AKIF CD,10302,36.9126639,30.6872211
YALI CD-5,10303,36.865349,30.7824384
SELIMIYE CAMI,10304,36.9402324,30.6677809
BULENT ECEVIT BLV-12,10305,36.8618674,30.7872896
BULENT ECEVIT BLV-13,10306,36.8612318,30.7825998
BULENT ECEVIT BLV-14,10307,36.8601683,30.7795288
BULENT ECEVIT BLV-15,10308,36.8591214,30.7769416
BULENT ECEVIT BLV-16,10309,36.8578084,30.7722932
BULENT ECEVIT BLV-17,10310,36.8576426,30.7695476
BULENT ECEVIT BLV-18,10311,36.8577886,30.7649886
BULENT ECEVIT BLV-20,10312,36.8578002,30.7610836
BULENT ECEVIT BLV-21,10313,36.8578192,30.7576366
BULENT ECEVIT BLV-22,10314,36.8581577,30.7533414
BULENT ECEVIT BLV-23,10315,36.8582527,30.7508799
BULENT ECEVIT BLV-24,10316,36.8583265,30.7485585
BURHANETTIN ONAT CD-5,10317,36.8773521,30.7177438
BURHANETTIN ONAT CD-6,10319,36.8806518,30.7179955
6423 SK,10320,36.9440697,30.6820463
CEBESOY CD-11,10321,36.8843765,30.7136819
2979 SK,10322,36.9310897,30.6936214
CEBESOY CD-12,10323,36.8877445,30.7123379
466 SK,10324,36.8916865,30.7039241
HASAN SUBASI CD,10325,36.8892934,30.7028179
ESKI VALILIK,10326,36.8880398,30.7016135
SHT. BIN. CENGIZ TOYTUNC CD-1,10327,36.8881744,30.6995071
